"NPDES DMR Parameter to Pollutant Category Crosswalk"

POLLUTANT_CODE,POLLUTANT_DESC,PARAMETER_CODE,PARAMETER_DESC,COUNT_PERMITS_WITH_LIMITS,CHEMICAL_ABSTRACT_SERVICE_NMBR,SRS_ID,TOXIC_WEIGHTING_FACTOR,QNCR_POLL_CODE,NITROGEN,PHOSPHORUS,ORGANIC_ENRICHMENT,SOLIDS,PATHOGEN_INDICATORS,METALS,CWA_PRIORITY_POLLUTANTS,CERCLA_HAZ_SUBST,TRI_CHEMICALS,TEMPERATURE,GEN_RADIOACTIVITY,RADIONUCLIDES,COLOR,WHOLE_EFFLUENT_TOXICITY,PFAS
"1","Number","51902","Number of Consecutive Exceedances",0,"","",,"Pollutant Not Used for QNCR","","","","","","","","","","","","","","",""
"1","Number","51863","Number of connections",1,"","",,"Pollutant Not Used for QNCR","","","","","","","","","","","","","","",""
"10001","Polychlorinated biphenyls","51873","Polychlorinated biphenyls [PCBs], sum of Aroclors and Congeners",8,"1336363","85878",,"Group 2","","","","","","","","","Y","","","","","",""
"10001","Polychlorinated biphenyls","79819","Polychlorinated biphenyls (PCB) pg/L",31,"1336363","85878",34033.6,"Pollutant Not Used for QNCR","","","","","","","","Y","Y","","","","","",""
"10001","Polychlorinated biphenyls","51556","PCBs Wet Weather Analysis",59,"1336363","85878",34033.6,"Group 2","","","","","","","","Y","Y","","","","","",""
"10001","Polychlorinated biphenyls","04167","PCB, total sludge, scan code",0,"1336363","85878",34033.6,"Group 2","","","","","","","","Y","Y","","","","","",""
"10001","Polychlorinated biphenyls","39519","PCBs in bottom deps. (dry solids)",4,"1336363","85878",34033.6,"Group 2","","","","","","","","Y","Y","","","","","",""
"10001","Polybrominated Biphenyls","39521","POLYBROMINATED BIPHENYLS",1,"1336363","85878",34033.6,"Group 2","","","","","","","","Y","Y","","","","","",""
"10001","Polychlorinated biphenyls","39516","Polychlorinated biphenyls (PCBs)",1158,"1336363","85878",34033.6,"Group 2","","","","","","","","Y","Y","","","","","",""
"10001","Polychlorinated biphenyls","04166","PCB, total, scan effluent",65,"1336363","85878",34033.6,"Pollutant Not Used for QNCR","","","","","","","","Y","Y","","","","","",""
"10001","Polychlorinated biphenyls","51557","PCBs Dry Weather Analysis",57,"1336363","85878",34033.6,"Group 2","","","","","","","","Y","Y","","","","","",""
"10001","Polychlorinated biphenyls","39487","Polychlorinated Biphenyls [PCBs] Pass/Fail",0,"1336363","85878",34033.6,"Pollutant Not Used for QNCR","","","","","","","","Y","Y","","","","","",""
"10001","Polychlorinated biphenyls","51866","Polychlorinated biphenyls [PCBs], sum of congeners",70,"1336363","85878",,"Group 2","","","","","","","","","Y","","","","","",""
"10001","Polychlorinated biphenyls","51867","Polychlorinated biphenyls [PCBs], sum of Aroclors",139,"1336363","85878",,"Group 2","","","","","","","","","Y","","","","","",""
"10003","Nitroglycerin","34101","Nitroglycerin by gas chromatography",5,"55630","1941",.04,"Group 2","","","","","","","","Y","Y","","","","","",""
"10005","Di(2-ethylhexyl) phthalate","81346","Diethylhexyl phthalate, isomer",0,"117817","29934",.25,"Group 2","","","","","","","Y","Y","Y","","","","","",""
"10005","Di(2-ethylhexyl) phthalate","51315","Di-2-ethylhexyl phthalate",6,"117817","29934",.25,"Pollutant Not Used for QNCR","","","","","","","Y","Y","Y","","","","","",""
"10005","Di(2-ethylhexyl) phthalate","39100","Bis(2-ethylhexyl) phthalate",2376,"117817","29934",.25,"Group 2","","","","","","","Y","Y","Y","","","","","",""
